epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/masked_tokens,train/variance_explained,val/effective_rank,val/loss,val/masked_tokens,val/rank_ceiling,val/rank_fraction,val/variance_explained
,2.5104411734406246e-05,2.5104411734406246e-05,1019,,,,,,,,,,
28,,,1019,,0.6096924543380737,,,,,,,,
,2.4823321829251927e-05,2.4823321829251927e-05,1039,,,,,,,,,,
28,,,1039,,0.8006169199943542,,,,,,,,
28,,,1043,,,,,5.0,0.9005739092826843,144.0,21.0,0.2380952388048172,0.09942606836557388
28,,,1043,0.8161842823028564,,144.0,0.18381577730178833,,,,,,
,2.4537600292049246e-05,2.4537600292049246e-05,1059,,,,,,,,,,
29,,,1059,,0.7933344841003418,,,,,,,,
,2.4247390992196665e-05,2.4247390992196665e-05,1079,,,,,,,,,,
29,,,1079,,0.8506274819374084,,,,,,,,
29,,,1079,,,,,5.0,0.8977959156036377,144.0,21.0,0.2380952388048172,0.10220415145158768
29,,,1079,0.8182796239852905,,144.0,0.18172042071819305,,,,,,
,2.3952840058816333e-05,2.3952840058816333e-05,1099,,,,,,,,,,
30,,,1099,,0.8520781397819519,,,,,,,,
30,,,1115,,,,,5.0,0.8952959775924683,144.0,21.0,0.2380952388048172,0.10470402985811234
30,,,1115,0.8150838613510132,,144.0,0.18491607904434204,,,,,,
,2.3654095807173587e-05,2.3654095807173587e-05,1119,,,,,,,,,,
31,,,1119,,0.8471376299858093,,,,,,,,
,2.335130866399582e-05,2.335130866399582e-05,1139,,,,,,,,,,
31,,,1139,,0.8362800478935242,,,,,,,,
31,,,1151,,,,,5.0,0.8888512849807739,144.0,21.0,0.2380952388048172,0.11114872246980667
31,,,1151,0.8120008111000061,,144.0,0.18799923360347748,,,,,,
,2.3044631091728038e-05,2.3044631091728038e-05,1159,,,,,,,,,,
32,,,1159,,0.7807903289794922,,,,,,,,
,2.2734217511763486e-05,2.2734217511763486e-05,1179,,,,,,,,,,
32,,,1179,,0.8280928730964661,,,,,,,,
32,,,1187,,,,,4.0,0.8892056345939636,144.0,21.0,0.190476194024086,0.1107943207025528
32,,,1187,0.8096286058425903,,144.0,0.19037146866321564,,,,,,
,2.242022422668777e-05,2.242022422668777e-05,1199,,,,,,,,,,
33,,,1199,,0.7687179446220398,,,,,,,,
,2.2102809341575823e-05,2.2102809341575823e-05,1219,,,,,,,,,,
33,,,1219,,0.7934244275093079,,,,,,,,
33,,,1223,,,,,5.0,0.8973404765129089,144.0,21.0,0.2380952388048172,0.1026594489812851
33,,,1223,0.8103351593017578,,144.0,0.18966493010520935,,,,,,
,2.1782132684381256e-05,2.1782132684381256e-05,1239,,,,,,,,,,
34,,,1239,,0.9121004939079285,,,,,,,,
,2.1458355725458123e-05,2.1458355725458123e-05,1259,,,,,,,,,,
34,,,1259,,0.7861598134040833,,,,,,,,
34,,,1259,,,,,5.0,0.8962122797966003,144.0,21.0,0.2380952388048172,0.10378778725862503
34,,,1259,0.808704137802124,,144.0,0.19129586219787598,,,,,,
,2.11316414962558e-05,2.11316414962558e-05,1279,,,,,,,,,,
35,,,1279,,0.7251019477844238,,,,,,,,
35,,,1295,,,,,5.0,0.8896433711051941,144.0,21.0,0.2380952388048172,0.11035662889480591
35,,,1295,0.8027956485748291,,144.0,0.19720448553562164,,,,,,
,2.080215450722767e-05,2.080215450722767e-05,1299,,,,,,,,,,
36,,,1299,,0.852522611618042,,,,,,,,
,2.0470060664995216e-05,2.0470060664995216e-05,1319,,,,,,,,,,
36,,,1319,,0.7270556092262268,,,,,,,,
36,,,1331,,,,,5.0,0.880337655544281,144.0,21.0,0.2380952388048172,0.11966230720281601
36,,,1331,0.7991594076156616,,144.0,0.20084057748317719,,,,,,
,2.0135527188809e-05,2.0135527188809e-05,1339,,,,,,,,,,
37,,,1339,,0.7401452660560608,,,,,,,,
,1.9798722526348748e-05,1.9798722526348748e-05,1359,,,,,,,,,,
37,,,1359,,0.8260599970817566,,,,,,,,
37,,,1367,,,,,5.0,0.8834077715873718,144.0,21.0,0.2380952388048172,0.11659225821495056
37,,,1367,0.7975760102272034,,144.0,0.20242394506931305,,,,,,
,1.9459816268904877e-05,1.9459816268904877e-05,1379,,,,,,,,,,
38,,,1379,,0.7950286269187927,,,,,,,,
,1.911897906598418e-05,1.911897906598418e-05,1399,,,,,,,,,,
38,,,1399,,0.785811722278595,,,,,,,,
38,,,1403,,,,,5.0,0.8802533745765686,144.0,21.0,0.2380952388048172,0.11974667012691498
38,,,1403,0.7970594167709351,,144.0,0.20294064283370972,,,,,,
,1.8776382539382618e-05,1.8776382539382618e-05,1419,,,,,,,,,,
39,,,1419,,0.8745896220207214,,,,,,,,
,1.8432199196768637e-05,1.8432199196768637e-05,1439,,,,,,,,,,
39,,,1439,,0.7101146578788757,,,,,,,,
39,,,1439,,,,,5.0,0.8853023052215576,144.0,21.0,0.2380952388048172,0.1146976575255394
39,,,1439,0.7934389710426331,,144.0,0.2065611332654953,,,,,,
,1.8086602344820316e-05,1.8086602344820316e-05,1459,,,,,,,,,,
40,,,1459,,0.7994718551635742,,,,,,,,
40,,,1475,,,,,5.0,0.8807776570320129,144.0,21.0,0.2380952388048172,0.11922240257263184
40,,,1475,0.7925947308540344,,144.0,0.2074052393436432,,,,,,
,1.773976600196025e-05,1.773976600196025e-05,1479,,,,,,,,,,
41,,,1479,,0.7040128111839294,,,,,,,,
,1.7391864810732056e-05,1.7391864810732056e-05,1499,,,,,,,,,,
41,,,1499,,0.6573024988174438,,,,,,,,
41,,,1511,,,,,5.0,0.8874974846839905,144.0,21.0,0.2380952388048172,0.11250250786542892
41,,,1511,0.7911632657051086,,144.0,0.20883680880069733,,,,,,
,1.704307394986254e-05,1.704307394986254e-05,1519,,,,,,,,,,
42,,,1519,,0.8450238108634949,,,,,,,,
,1.6693569046053995e-05,1.6693569046053995e-05,1539,,,,,,,,,,
42,,,1539,,0.7554492354393005,,,,,,,,
42,,,1547,,,,,5.0,0.8790434002876282,144.0,21.0,0.2380952388048172,0.12095655500888824
42,,,1547,0.7909982204437256,,144.0,0.20900174975395203,,,,,,
,1.6343526085550814e-05,1.6343526085550814e-05,1559,,,,,,,,,,
43,,,1559,,0.8771808743476868,,,,,,,,
,1.599312132552516e-05,1.599312132552516e-05,1579,,,,,,,,,,
43,,,1579,,0.7829787731170654,,,,,,,,
43,,,1583,,,,,5.0,0.8804577589035034,144.0,21.0,0.2380952388048172,0.11954225599765778
43,,,1583,0.7938547730445862,,144.0,0.206145241856575,,,,,,
,1.5642531205326132e-05,1.5642531205326132e-05,1599,,,,,,,,,,
44,,,1599,,0.7370796203613281,,,,,,,,
,1.5291932257637274e-05,1.5291932257637274e-05,1619,,,,,,,,,,
44,,,1619,,0.7501948475837708,,,,,,,,
44,,,1619,,,,,5.0,0.8806239366531372,144.0,21.0,0.2380952388048172,0.1193760335445404
44,,,1619,0.7869386076927185,,144.0,0.2130613476037979,,,,,,
,1.4941501019587022e-05,1.4941501019587022e-05,1639,,,,,,,,,,
45,,,1639,,0.7413541674613953,,,,,,,,
45,,,1655,,,,,5.0,0.882565438747406,144.0,21.0,0.2380952388048172,0.11743456870317459
45,,,1655,0.784180760383606,,144.0,0.21581926941871643,,,,,,
,1.4591413943856973e-05,1.4591413943856973e-05,1659,,,,,,,,,,
46,,,1659,,0.8649420738220215,,,,,,,,
,1.4241847309832619e-05,1.4241847309832619e-05,1679,,,,,,,,,,
46,,,1679,,0.763916015625,,,,,,,,
46,,,1691,,,,,5.0,0.8740816712379456,144.0,21.0,0.2380952388048172,0.12591832876205444
46,,,1691,0.789745032787323,,144.0,0.2102552056312561,,,,,,
,1.3892977134841392e-05,1.3892977134841392e-05,1699,,,,,,,,,,
47,,,1699,,0.7180346846580505,,,,,,,,
,1.3544979085522622e-05,1.3544979085522622e-05,1719,,,,,,,,,,
47,,,1719,,0.7667570114135742,,,,,,,,
47,,,1727,,,,,5.0,0.8793461918830872,144.0,21.0,0.2380952388048172,0.12065380811691284
47,,,1727,0.7837669849395752,,144.0,0.21623314917087555,,,,,,
,1.319802838937409e-05,1.319802838937409e-05,1739,,,,,,,,,,
48,,,1739,,0.5841236710548401,,,,,,,,
,1.2852299746519723e-05,1.2852299746519723e-05,1759,,,,,,,,,,
48,,,1759,,0.6264328956604004,,,,,,,,
48,,,1763,,,,,5.0,0.8736528754234314,144.0,21.0,0.2380952388048172,0.12634707987308502
48,,,1763,0.7810733318328857,,144.0,0.21892660856246948,,,,,,
,1.250796724174282e-05,1.250796724174282e-05,1779,,,,,,,,,,
49,,,1779,,0.6066267490386963,,,,,,,,
,1.21652042568291e-05,1.21652042568291e-05,1799,,,,,,,,,,
49,,,1799,,0.8008863925933838,,,,,,,,
49,,,1799,,,,,5.0,0.8691948652267456,144.0,21.0,0.2380952388048172,0.13080517947673798
49,,,1799,0.778679370880127,,144.0,0.22132056951522827,,,,,,
,1.182418338326377e-05,1.182418338326377e-05,1819,,,,,,,,,,
50,,,1819,,0.7539551854133606,,,,,,,,
50,,,1835,,,,,5.0,0.8696579933166504,144.0,21.0,0.2380952388048172,0.13034208118915558
50,,,1835,0.7764995098114014,,144.0,0.22350038588047028,,,,,,
,1.1485076335326504e-05,1.1485076335326504e-05,1839,,,,,,,,,,
51,,,1839,,0.7511084675788879,,,,,,,,
,1.114805386362815e-05,1.114805386362815e-05,1859,,,,,,,,,,
51,,,1859,,0.7861354947090149,,,,,,,,
51,,,1871,,,,,6.0,0.8743797540664673,144.0,21.0,0.2857142984867096,0.12562023103237152
51,,,1871,0.7764949798583984,,144.0,0.22350502014160156,,,,,,
,1.081328566913264e-05,1.081328566913264e-05,1879,,,,,,,,,,
52,,,1879,,0.837959349155426,,,,,,,,
,1.0480940317707428e-05,1.0480940317707428e-05,1899,,,,,,,,,,
52,,,1899,,0.7716114521026611,,,,,,,,
52,,,1907,,,,,6.0,0.8710249662399292,144.0,21.0,0.2857142984867096,0.1289750337600708
52,,,1907,0.7750772833824158,,144.0,0.22492268681526184,,,,,,
,1.0151185155245543e-05,1.0151185155245543e-05,1919,,,,,,,,,,
53,,,1919,,0.7707497477531433,,,,,,,,
,9.82418622340185e-06,9.82418622340185e-06,1939,,,,,,,,,,
53,,,1939,,0.828063428401947,,,,,,,,
53,,,1943,,,,,6.0,0.8706179261207581,144.0,21.0,0.2857142984867096,0.12938202917575836
53,,,1943,0.7728515267372131,,144.0,0.22714845836162567,,,,,,
,9.500108175986109e-06,9.500108175986109e-06,1959,,,,,,,,,,
54,,,1959,,0.8408911824226379,,,,,,,,
,9.179114196054796e-06,9.179114196054796e-06,1979,,,,,,,,,,
54,,,1979,,0.7741010785102844,,,,,,,,
54,,,1979,,,,,6.0,0.8724448680877686,144.0,21.0,0.2857142984867096,0.12755505740642548
54,,,1979,0.7751237154006958,,144.0,0.22487632930278778,,,,,,
,8.861365913743538e-06,8.861365913743538e-06,1999,,,,,,,,,,
55,,,1999,,0.729790985584259,,,,,,,,
55,,,2015,,,,,6.0,0.8708776831626892,144.0,21.0,0.2857142984867096,0.12912234663963318
55,,,2015,0.7722217440605164,,144.0,0.2277783751487732,,,,,,
